Timestamp,Divisyen,Jabatan,Negeri/Pusat,Aktiviti,PIC,Lokasi,Bilangan Penerima Manfaat,Belanjawan yang dikeluarkan
2025-08-30T13:48:01,Disaster Management,Dapur Rakyat,Selangor,"DAPUR RAKYAT MANGSA BANJIR RANTAU PANJANG, KELANTAN",JAMULIDDIN BIN ELIAS,Kelantan,0,6700.0
2025-08-30T13:48:32,Disaster Management,Dapur Rakyat,Selangor,"DAPUR RAKYAT MANGSA BANJIR RANTAU PANJANG, KELANTAN",JAMULIDDIN BIN ELIAS,Kelantan,240,6700.0
